str,nutri_scores
"Butter, salted",e
"Butter, whipped, with salt",e
"Butter oil, anhydrous",e
"Cheese, blue",e
"Cheese, brick",d
"Cheese, brie",d
"Cheese, camembert",d
"Cheese, caraway",d
"Cheese, cheddar ",d
"Cheese, cheshire",d
"Cheese, colby",d
"Cheese, cottage, creamed",b
"Cheese, cottage, nonfat",b
"Cheese, cottage, lowfat",a
"Cheese, cream",b
"Cheese, edam",a
"Cheese, feta",d
"Cheese, fontina",d
"Cheese, gjetost",d
"Cheese, gouda",d
"Cheese, gruyere",d
"Cheese, limburger",d
"Cheese, monterey",d
"Cheese, mozzarella, whole milk",d
"Cheese, mozzarella, part skim milk",d
"Cheese, mozzarella, low moisture",d
"Cheese, muenster",d
"Cheese, neufchatel",d
"Cheese, parmesan, grated",d
"Cheese, parmesan, hard",d
"Cheese, port de salut",d
"Cheese, provolone",e
"Cheese, ricotta, whole milk",e
"Cheese, ricotta, part skim milk",d
"Cheese, romano",d
"Cheese, roquefort",c
"Cheese, swiss",b
"Cheese, tilsit",e
"Cheese, pasteurized process, American",e
"Cheese, pasteurized process, pimento",c
"Cheese, pasteurized process, swiss",d
"Cheese food, cold pack, American",e
"Cheese food, pasteurized process, American",e
"Cheese food, pasteurized process, swiss",e
"Cheese spread, pasteurized process, American",e
"Cream, fluid, half and half",e
"Cream, fluid, light ",e
"Cream, fluid, light whipping",e
"Cream, fluid, heavy whipping",c
"Cream, whipped, cream topping",d
"Cream, sour, reduced fat",d
"Cream, sour, cultured",d
Eggnog,d
"Sour dressing, non-butterfat, cultured",c
"Milk, filled, fluid",d
"Cheese, American, nonfat or fat free",b
"Yogurt, Greek, 2% fat",d
"Yogurt, Greek, 2%fat",a
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",b
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",c
"Cream substitute, powdered",c
"Dessert topping, powdered",c
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",e
"Dessert topping, pressurized",e
"Dessert topping, semi solid, frozen",d
"Sour cream, imitation, cultured",d
"Milk substitutes, fluid, with lauric acid oil",d
"Milk, whole, 3.25% milkfat",d
"Milk, producer, fluid",b
"Milk, reduced fat, fluid",b
"Milk, lowfat, fluid",b
"Milk, nonfat, fluid",b
"Milk, buttermilk, fluid",a
"Milk, low sodium, fluid",b
"Milk, dry, whole",a
"Milk, dry, nonfat",a
"Milk, buttermilk, dried",a
"Milk, canned, condensed",a
"Milk, canned, evaporated",a
"Milk, chocolate, fluid",a
"Milk, chocolate, lowfat",b
"Milk, chocolate beverage, hot cocoa",b
"Milk, goat, fluid",e
"Milk, human, mature",d
"Milk, indian buffalo, fluid",d
"Milk, sheep, fluid",c
"Milk shakes, thick chocolate",d
"Milk shakes, thick vanilla",d
"Whey, acid, fluid",c
"Whey, acid, dried",a
"Whey, sweet, fluid",c
"Whey, sweet, dried",b
"Yogurt, plain, whole milk",b
"Yogurt, plain, low fat",b
"Yogurt, plain, skim milk",b
"Yogurt, vanilla, low fat.",c
"Yogurt, fruit, low fat",c
"Egg, whole, raw",b
"Egg, white, raw",c
"Egg, yolk, raw",c
"Egg, whole, cooked",b
"Egg, whole, dried",e
"Egg, white, dried",b
"Egg, yolk, dried",e
"Egg, duck, whole",b
"Egg, goose, whole",a
"Egg, quail, whole",a
"Egg, turkey, whole",b
"Egg substitute, powder",c
"Butter, without salt",c
"Cheese, parmesan, shredded",a
"Cheese, goat, hard type",b
"Cheese, goat, semisoft type",a
"Cheese, goat, soft type",c
"Cheese substitute, mozzarella",c
"Cheese sauce, prepared from recipe",c
"Cheese, mexican, queso anejo",c
"Cheese, mexican, queso asadero",b
"Cheese, mexican, queso chihuahua",b
"Cheese, low fat, cheddar or colby",b
"Cheese, low-sodium, cheddar or colby",b
"Milk, fluid, 1% fat",d
"Sour cream, reduced fat",d
"Sour cream, light",c
"Sour cream, fat free",c
"Yogurt, vanilla or lemon flavor, nonfat milk",d
"Parmesan cheese topping, fat free",b
"Cheese, cream, fat free",b
"Yogurt, chocolate, nonfat milk",b
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,b
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,d
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,d
KRAFT VELVEETA Pasteurized Process Cheese Spread,e
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,a
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,a
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,b
"Cream, half and half, fat free",d
Reddi Wip Fat Free Whipped Topping,d
"Yogurt, fruit, lowfat",d
"Cheese, parmesan, dry grated",d
"Cream substitute, flavored, liquid",d
"Cream substitute, flavored, powdered",d
"Cheese, provolone, reduced fat",d
"Cheese, Mexican, blend",c
"Cheese product, pasteurized process, American",e
"Yogurt, fruit variety, nonfat",d
"Yogurt, vanilla, low fat",d
"Protein supplement, milk based, Muscle Milk",c
"Protein supplement, milk based, Muscle Milk Light",c
Dulce de Leche,b
"Egg substitute, liquid or frozen, fat free",a
"Cheese, dry white, queso seco",c
"Cheese, fresh, queso fresco",b
"Cheese, white, queso blanco",a
"Yogurt, vanilla flavor, lowfat milk",c
"Yogurt, frozen, flavors not chocolate",c
"Ice cream, soft serve, chocolate",b
"Ice cream, bar or stick, chocolate covered",d
Ice cream sandwich,a
Ice cream cookie sandwich,d
"Ice cream cone, chocolate covered, with nuts",c
"Ice cream sandwich, made with light ice cream, vanilla",b
"Ice cream sandwich, vanilla, light",e
"Fat free ice cream, no sugar added, flavors other than chocolate",d
"Milk dessert bar, frozen, made from lowfat milk",c
"Nutritional supplement for people with diabetes, liquid",e
"Cheese, Mexican blend",d
"Yogurt, Greek, plain",c
"Cheese spread, American or Cheddar cheese base, reduced fat",b
"Cheese, cheddar, reduced fat ",b
"Ice cream, light, soft serve",c
"Ice cream bar, stick or nugget, with crunch coating",b
"Cheese, cheddar, nonfat or fat free",a
"Cheese, Swiss, nonfat or fat free",d
"Cheese, mexican, queso cotija",d
"Cheese, cheddar, sharp",e
"Yogurt, Greek, nonfat",d
"Yogurt, Greek, strawberry",d
"Yogurt, Greek, vanilla",d
"Kefir, lowfat, plain",b
"Kefir, lowfat, strawberry",e
"Milk, evaporated, 2% fat",c
"Milk, chocolate, fat free",d
"Yogurt, Greek, fruit",c
"Yogurt, vanilla, non-fat",c
"Yogurt, frozen, flavors other than chocolate",c
"Ice cream bar, covered with chocolate and nuts",a
Ice cream sundae cone,b
"Light ice cream, Creamsicle",a
"Cream, half and half, lowfat",b
"Ice cream, lowfat, no sugar added",b
"Yogurt, Greek, whole",b
"Yogurt, Greek, Blueberry",d
"Butter, Clarified butter ",a
"Spices, allspice, ground",e
"Spices, anise seed",d
"Spices, basil, dried",d
"Spices, bay leaf",b
"Spices, caraway seed",a
"Spices, cardamom",a
"Spices, celery seed",d
"Spices, chervil, dried",d
"Spices, chili powder",c
"Spices, cinnamon, ground",c
Cassia,d
"Spices, cloves, ground",c
"Spices, coriander leaf, dried",a
Chinese parsley,a
cilantro,a
"Spices, coriander seed",a
"Spices, cumin seed",d
"Spices, curry powder",e
"Spices, dill seed",e
"Spices, dill weed, dried",e
"Spices, fennel seed",c
"Spices, fenugreek seed",a
"Spices, garlic powder",c
"Spices, ginger, ground",d
"Spices, mace, ground",d
"Spices, marjoram, dried",c
"Spices, mustard seed, ground",d
"Spices, nutmeg, ground",c
"Spices, onion powder",c
"Spices, oregano, dried",e
"Spices, paprika",d
"Spices, parsley, dried",d
"Spices, pepper, black",a
"Spices, pepper, red or cayenne",a
"Spices, pepper, white",a
"Spices, poppy seed",a
"Spices, poultry seasoning",a
"Spices, pumpkin pie spice",a
"Spices, rosemary, dried",a
"Spices, saffron",a
"Spices, sage, ground",a
"Spices, savory, ground",a
"Spices, tarragon, dried",a
"Spices, thyme, dried",a
"Spices, turmeric, ground",a
"Basil, fresh",c
"Dill weed, fresh",a
"Mustard, prepared, yellow",b
"Salt, table",a
"Vinegar, cider",a
"Thyme, fresh",a
Vanilla extract,a
"Vanilla extract, imitation, alcohol",a
"Vanilla extract, imitation, no alcohol",a
"Vinegar, distilled",a
"Capers, canned",a
"Horseradish, prepared",a
"Rosemary, fresh",a
"Peppermint, fresh",c
mint,a
"Spearmint, fresh",a
mint,c
"Spearmint, dried",a
mint,a
"Vinegar, red wine",a
"Vinegar, balsamic",b
"Seasoning mix, dry, sazon",a
"Seasoning mix, dry, taco",a
"Seasoning mix, dry, chili",a
"Fat, beef tallow",b
Lard,a
"Salad dressing, KRAFT Mayo Light Mayonnaise",c
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",c
"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",a
"Salad dressing, russian dressing",b
"Salad dressing, sesame seed dressing, regular",a
"Salad dressing, thousand island, commercial",a
"Salad dressing, mayonnaise type, regular",a
"Salad dressing, french dressing, reduced fat",a
"Salad dressing, italian dressing, commercial",a
"Salad dressing, russian dressing, low calorie",a
"Salad dressing, thousand island dressing, reduced fat",c
"Salad dressing, mayonnaise, regular",c
"Salad dressing, mayonnaise, soybean and safflower oil",b
"Salad dressing, mayonnaise, imitation",a
"Sandwich spread, with chopped pickle, regular",c
"Shortening, household, soybean -cottonseed ",b
"Oil, soybean, salad or cooking",c
"Oil, rice bran",b
"Oil, wheat germ",c
"Oil, peanut, salad or cooking",b
"Oil, coconut",a
"Oil, olive, salad or cooking",a
"Oil, palm",a
"Oil, sesame, salad or cooking",a
"Oil, sunflower, linoleic ",b
"Margarine, regular, hard",c
"Salad dressing, french dressing, commercial",d
"Margarine,spread, 35-39% fat",c
"Salad dressing, french, home recipe",c
"Salad dressing, home recipe, vinegar and oil",c
"Salad dressing, italian dressing, reduced fat",d
"Salad dressing, mayonnaise, soybean oil",a
"Salad dressing, french, cottonseed",a
"Salad dressing, french dressing, fat-free",a
"Oil, cocoa butter",a
"Oil, cottonseed, salad or cooking",a
"Oil, sunflower, linoleic",a
"Oil, safflower, salad or cooking",a
"Vegetable oil, palm kernel",a
"Oil, poppyseed",a
"Oil, tomatoseed",a
"Oil, teaseed",c
"Oil, grapeseed",a
"Oil, corn, industrial and retail",a
"Oil, walnut",c
"Oil, almond",c
"Oil, apricot kernel",c
"Oil, soybean lecithin",a
"Oil, hazelnut",a
"Oil, babassu",a
"Oil, sheanut",a
"Salad dressing, blue or roquefort cheese dressing, commercial",a
"Oil, cupu assu",b
"Fat, chicken",a
"Shortening, household, lard and vegetable oil",b
"Shortening bread, soybean  and cottonseed",a
"Shortening cake mix, soybean  and cottonseed ",a
"Shortening industrial, lard and vegetable oil",a
"Shortening frying , beef tallow and cottonseed",a
"Shortening confectionery, coconut  and or palm kernel ",a
"Shortening industrial, soybean  and cottonseed",a
"Shortening frying , palm ",b
Shortening household soybean  and palm,a
"Shortening frying , soybean , linoleic ",a
"Shortening, confectionery, fractionated palm",a
"Oil, nutmeg butter",a
"Oil, ucuhuba butter",a
"Fat, turkey",a
"Fat, goose",a
"Oil, avocado",a
"Oil, canola",a
low erucic acid rapeseed oil,a
"Oil, mustard",a
"Oil, sunflower, high oleic ",a
